Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2022-04-05,140.10423278808594,142.6140502336185,139.98553821089865,142.42485422983833,19256000
2022-04-06,136.24365234375,138.89798879949925,135.4909146839789,138.2156616405898,23574000
2022-04-07,135.5374755859375,136.7655825379681,133.9406607258666,135.68943555938154,19448000
2022-04-08,133.09963989257812,135.32392013811082,132.84339786167584,135.32392013811082,16434000
2022-04-11,128.914306640625,132.03564686822963,128.73652239994706,131.99671346832326,24188000
2022-04-12,127.50196838378906,131.5234443825534,126.7088955200656,131.5234443825534,23004000
2022-04-13,129.40048217773438,129.76772007214777,127.56564150777218,127.75226116078501,19542000
2022-04-14,126.3880844116211,129.82183863957255,126.2475513730144,129.7615062739203,23484000
2022-04-18,127.09127807617188,127.83718073982732,125.71812943757428,126.544028184169,14918000
2022-04-19,129.643798828125,130.01400703689671,126.58522402126427,127.20646849474038,22720000
2022-04-20,127.37384796142578,131.02684338606394,127.02478860174018,130.39169402041003,22610000
2022-04-21,124.08832550048828,129.4218218649713,123.80278109438417,128.47084070725919,30158000
2022-04-22,118.80101013183594,124.59933564713744,118.33073288613822,124.15040432972323,46410000
2022-04-25,122.41230010986328,122.44010967951982,117.96200363333601,118.61776389439238,34522000
2022-04-26,118.69374084472656,121.9156953668597,118.35193320549877,121.9156953668597,49394000
2022-04-27,114.23873901367188,116.7013863853642,112.3553793997809,113.59564079374665,62238000
2022-04-28,118.59989166259766,119.61991184829955,114.36129636849266,116.31899919439246,36790000
2022-04-29,114.18509674072266,118.15145353700517,113.91444977396297,116.77885051307213,33694000
2022-05-02,116.36071014404297,116.54197246397206,112.62874925812542,113.13230706125103,30280000
2022-05-03,117.32659912109375,118.48914516775888,115.83430888353642,115.97137141053472,21216000
2022-05-04,121.74188995361328,122.30603020906693,114.95186119399109,117.20146603433236,33232000
2022-05-05,115.95301055908203,120.40927092964644,114.39964515981488,119.40339795378193,43090000
2022-05-06,114.87388610839844,116.69988358969378,113.3671909691171,114.73383803100742,35310000
2022-05-09,112.31539916992188,114.77744789119988,111.78651721177197,112.53340498595678,34520000
2022-05-10,113.80570220947266,115.89788360569034,112.6126640760728,115.2517998529397,31158000
2022-05-11,113.18643951416016,115.87801954066781,112.8775562590806,112.93764614973588,36502000
2022-05-12,112.39187622070312,114.07584796875001,109.36508870592871,111.17718906861133,41464000
2022-05-13,115.72357177734375,117.2824003997645,113.22516618735563,114.06491665409045,29738000
2022-05-16,114.01229095458984,115.81494975666094,113.55789621016481,114.59977002840716,23282000
2022-05-17,115.90830993652344,116.43073582008283,114.55358226893068,116.43073582008283,21576000
2022-05-18,111.63704681396484,114.90930135246086,111.37980448800577,114.45427007892951,27982000
2022-05-19,109.9927978515625,112.81548455951422,109.71718756520112,111.08085682601073,29192000
2022-05-20,108.57003021240234,111.78502864263129,105.65001023718413,111.32368530938997,37586000
2022-05-23,110.90752410888672,111.24422448770753,108.41235409853408,109.35564407147166,31558000
2022-05-24,105.2060546875,105.67186121319772,101.51332253396392,105.65448591446943,60386000
2022-05-25,105.12013244628906,105.82053954981045,103.5029491848717,104.4273710798225,37900000
2022-05-26,107.55994415283203,108.21471938095945,104.77103056977111,105.32970743609883,30288000
2022-05-27,112.0323257446289,112.10084942695278,108.80540816322194,109.04228202249917,29924000
2022-05-31,113.26390838623047,115.6421343273915,111.80737646758043,112.31043416286929,51302000
2022-06-01,113.36123657226562,116.60106649560727,112.77872082459464,114.15033877086611,28630000
2022-06-02,116.94570922851562,117.09667654320671,112.5378697956403,113.4118934841274,27472000
2022-06-03,113.78533935546875,115.5736007647939,112.89542555147902,115.20412752147398,25052000
2022-06-06,116.21520233154297,118.58697208336689,115.73627912507483,115.94902611405952,23786000
2022-06-07,116.43272399902344,116.94834526478968,114.34302799093058,114.86197579662087,26414000
2022-06-08,116.44115447998047,117.8395892989397,115.90358113204536,116.0821155279787,22544000
2022-06-09,114.13693237304688,117.54560519921974,114.08627652096877,115.55075728502685,23142000
2022-06-10,110.67015075683594,112.72558859918094,110.10750330953636,112.01470175076729,31324000
2022-06-13,106.15009307861328,108.47617042658251,105.86360145932794,106.71571852617872,36756000
2022-06-14,106.4654312133789,107.72033996425871,105.6291512136606,106.16349657161695,25480000
2022-06-15,109.64020538330078,111.30133841155991,107.38389452427676,108.15933443940176,33192000
2022-06-16,105.91122436523438,108.5476776894181,105.0734591737636,107.41443392201762,35314000
2022-06-17,107.13236999511719,108.50695842698342,104.91062020376842,105.81091527153718,43516000
2022-06-21,111.253662109375,111.90718700263724,108.55066284303653,108.95638703991682,39010000
2022-06-22,111.27252960205078,112.99623796594392,109.97173129239299,110.40745496583803,23922000
2022-06-23,111.91861724853516,112.42713836119685,110.27436690601084,112.18230805303997,24710000
2022-06-24,117.7323226928711,117.83114137959278,112.83085975768661,112.83085975768661,39122000
2022-06-27,115.82984161376953,118.43948553324545,115.21231762490287,118.12662409004317,32840000
2022-06-28,111.80638885498047,117.0554643974944,111.67975300839639,115.56019602922068,28232000
2022-06-29,111.49352264404297,112.8919499930628,110.7957979560574,111.38625499397321,18628000
